petting_time,playing_with_other_dogs,going_out_with_dog,find_dog_friendly_places ,dog_walker ,working_as_dog_walker,social_activities ,interest_dog_friendly,interest_dog_sitter,interest_dating,interest_price_comparison ,interest_dog_walker,interest_dog_nearby,interest_second_hand_sharing,occupation ,district,owner_gender,owner_age,dog_age
1,6,6,good idea,never,5,6,interested,interested,interested,interested,interested,interested,interested,education,north,female,25,1
1,6,2,good idea,never,1,5,interested,use other app,use other app,not interested,use other app,interested,interested,salaried employee,north,female,24,1.5
4,6,6,good idea,never,2,6,interested,not interested,interested,interested,not interested,interested,interested,education,north,female,32,8
1,5,5,good idea,never,1,6,interested,interested,not interested,interested,not interested,not interested,not interested,unemployed,north,female,32,0.5
3,6,6,good idea,never,6,6,interested,not interested,interested,interested,not interested,interested,interested,unemployed,north,female,28,1.5
5,6,4,good idea,never,4,5,interested,interested,interested,interested,interested,interested,interested,high tech,north,male,35,10.5
1,6,6,good idea,never,6,5,interested,not interested,not interested,interested,not interested,not interested,interested,unemployed,north,female,26,1.5
3,6,6,good idea,regularly,3,5,interested,interested,interested,interested,interested,interested,interested,self employed,north,female,34,4
3,6,6,good idea,never,2,5,interested,interested,interested,interested,not interested,interested,not interested,education,north,male,26,1.8
4,6,6,good idea,never,2,6,interested,not interested,use other app,not interested,not interested,not interested,not interested,unemployed,center,female,26,4
2,6,6,good idea,never,1,2,interested,not interested,interested,interested,interested,not interested,not interested,unemployed,center,male,29,1.6
3,6,6,good idea,never,1,6,interested,not interested,interested,interested,not interested,interested,interested,education,north,female,26,3
4,5,6,good idea,never,1,3,interested,not interested,not interested,interested,interested,not interested,interested,salaried employee,center,female,27,6
4,6,5,good idea,seldom,6,6,interested,not interested,not interested,interested,not interested,not interested,not interested,education,north,female,28,7
4,6,4,not interested,never,1,4,not interested,not interested,not interested,not interested,not interested,interested,interested,salaried employee,north,female,39,8
2,6,3,good idea,never,4,5,use other app,not interested,interested,interested,use other app,interested,interested,unemployed,north,male,25,2
4,6,3,good idea,seldom,3,2,not interested,not interested,not interested,interested,not interested,not interested,interested,high tech,north,female,41,6
2,4,5,good idea,never,1,4,interested,not interested,not interested,interested,not interested,not interested,not interested,finance and marketing,north,male,25,2
3,6,5,good idea,never,1,4,interested,not interested,not interested,interested,not interested,not interested,interested,education,north,male,27,3.5
5,3,0,good idea,seldom,1,1,not interested,interested,not interested,interested,interested,not interested,not interested,unemployed,north,female,67,16
5,6,0,not interested,seldom,1,3,interested,interested,not interested,interested,interested,interested,interested,salaried employee,center,female,48,7
5,6,6,good idea,never,1,6,not interested,not interested,not interested,interested,not interested,not interested,not interested,salaried employee,center,female,60,6
5,2,1,not interested,never,1,4,not interested,not interested,not interested,interested,not interested,not interested,not interested,high tech,north,male,30,4
4,5,6,good idea,seldom,6,5,interested,interested,use other app,interested,interested,interested,interested,salaried employee,north,female,27,13
5,5,2,good idea,never,1,2,not interested,not interested,not interested,interested,interested,interested,interested,unemployed,north,male,26,2
5,4,3,good idea,never,2,2,use other app,not interested,not interested,interested,not interested,use other app,interested,unemployed,north,female,28,15
4,6,3,good idea,regularly,1,3,not interested,interested,not interested,interested,interested,not interested,not interested,finance and marketing,north,male,54,7
5,6,6,not interested,never,1,6,not interested,not interested,not interested,interested,not interested,not interested,not interested,self employed,north,female,44,15
3,4,6,good idea,seldom,1,6,interested,interested,interested,interested,not interested,interested,interested,education,north,female,27,2.6
4,4,6,use other platform,never,1,3,interested,interested,interested,interested,not interested,interested,interested,education,center,female,28,4
1,4,6,good idea,seldom,1,3,interested,interested,not interested,interested,interested,interested,interested,salaried employee,center,female,29,3
4,6,3,not interested,seldom,1,3,not interested,not interested,not interested,interested,not interested,not interested,interested,salaried employee,north,female,57,12
2,6,5,good idea,never,3,6,interested,not interested,interested,interested,not interested,interested,interested,unemployed,north,male,28,2
3,6,6,good idea,never,1,4,interested,not interested,interested,interested,not interested,interested,interested,high tech,north,male,34,5
5,2,3,good idea,never,2,2,interested,not interested,not interested,interested,not interested,not interested,not interested,finance and marketing,north,female,29,12
1,6,1,good idea,regularly,1,4,not interested,interested,interested,not interested,interested,interested,interested,high tech,north,male,46,1.5
3,5,0,not interested,never,3,1,not interested,interested,not interested,interested,not interested,not interested,not interested,high tech,north,male,42,5
5,6,6,good idea,never,1,6,interested,not interested,interested,not interested,not interested,interested,not interested,self employed,north,female,23,1
3,6,6,good idea,never,2,6,interested,not interested,not interested,not interested,not interested,not interested,not interested,self employed,center,male,35,5
3,6,4,good idea,seldom,5,5,interested,not interested,interested,interested,interested,not interested,interested,unemployed,center,male,17,2.5
5,6,6,good idea,regularly,1,6,interested,use other app,interested,interested,not interested,interested,interested,unemployed,center,female,21,2
3,6,6,use other platform,seldom,1,6,interested,not interested,use other app,use other app,not interested,use other app,use other app,salaried employee,center,female,35,6
4,6,6,good idea,seldom,6,6,interested,interested,interested,interested,interested,interested,interested,self employed,center,female,32,7
5,4,0,good idea,never,1,4,not interested,not interested,not interested,use other app,not interested,not interested,use other app,education,center,female,45,14
3,5,6,good idea,never,1,6,interested,not interested,not interested,not interested,not interested,not interested,not interested,self employed,north,female,27,4.5
5,6,6,good idea,seldom,1,5,not interested,not interested,not interested,not interested,not interested,not interested,not interested,unemployed,center,female,63,2
2,5,5,good idea,never,2,5,interested,interested,not interested,interested,interested,not interested,interested,salaried employee,north,male,27,6
5,3,3,good idea,never,2,6,interested,interested,not interested,not interested,not interested,interested,not interested,finance and marketing,center,female,27,10
3,6,3,good idea,never,6,6,interested,interested,interested,interested,interested,interested,interested,self employed,north,female,31,3
4,5,5,good idea,seldom,1,1,interested,interested,interested,interested,interested,interested,interested,education,north,male,31,5
3,6,6,good idea,never,1,5,interested,not interested,not interested,interested,not interested,interested,interested,unemployed,north,female,26,3.5
4,4,0,good idea,never,5,2,interested,not interested,interested,interested,not interested,not interested,not interested,education,center,female,25,6
5,6,3,good idea,never,1,6,interested,not interested,not interested,interested,not interested,not interested,not interested,education,north,female,27,14
2,6,5,good idea,never,2,6,interested,not interested,use other app,not interested,not interested,use other app,interested,high tech,center,male,18,1.5
5,3,6,good idea,never,4,3,interested,not interested,use other app,interested,not interested,not interested,interested,self employed,center,female,22,6.5
1,6,3,good idea,never,1,5,interested,interested,interested,interested,interested,interested,interested,education,north,female,22,1
3,6,2,good idea,never,1,5,interested,not interested,interested,interested,not interested,interested,interested,salaried employee,north,male,29,4
5,5,6,good idea,never,2,6,interested,not interested,use other app,not interested,not interested,use other app,not interested,education,north,female,60,2
5,6,6,good idea,never,1,6,interested,interested,interested,interested,not interested,interested,interested,self employed,center,female,54,6
5,6,6,good idea,never,3,6,interested,interested,interested,interested,interested,interested,interested,unemployed,north,male,27,1
5,2,6,good idea,never,1,6,interested,not interested,not interested,interested,not interested,not interested,not interested,education,north,female,25,4
5,6,6,good idea,never,6,4,interested,interested,interested,interested,not interested,interested,interested,salaried employee,center,female,24,11
2,6,4,good idea,never,3,6,interested,not interested,use other app,interested,not interested,interested,not interested,self employed,north,female,30,2
2,5,1,good idea,never,1,4,interested,not interested,interested,not interested,not interested,interested,not interested,unemployed,north,female,28,2
3,6,1,good idea,never,1,3,interested,not interested,not interested,interested,not interested,not interested,interested,education,north,female,27,3.5
5,5,4,good idea,never,6,5,interested,interested,interested,interested,interested,interested,interested,unemployed,north,male,17,3
4,4,6,good idea,seldom,2,3,interested,not interested,not interested,interested,not interested,not interested,interested,self employed,center,female,33,2
2,6,3,good idea,never,4,4,interested,not interested,interested,not interested,not interested,interested,not interested,unemployed,north,female,25,3
5,2,3,good idea,never,2,6,not interested,not interested,not interested,interested,not interested,not interested,interested,unemployed,north,male,17,6
5,6,6,good idea,regularly,6,6,interested,interested,not interested,not interested,interested,not interested,interested,self employed,south,female,50,10
